"Column","Min","Max","Mean","Std. deviation","Variance","Skewness","Kurtosis","Overall sum","No. missings","No. NaNs","No. +∞s","No. -∞s","Median","Row count","Histogram"
"Error in %",0,10.526315789473685,3.643724696356276,3.296152065087246,10.864618436178917,1.1382967607982015,0.9775497510379059,36.43724696356276,0,0,0,0,,10,"
<svg stroke-dasharray=""none"" shape-rendering=""auto""
     xmlns=""http://www.w3.org/2000/svg"" font-family=""&apos;Dialog&apos;""
     width=""200"" text-rendering=""auto"" fill-opacity=""1""
     contentScriptType=""text/ecmascript"" color-interpolation=""auto""
     color-rendering=""auto"" preserveAspectRatio=""xMidYMid meet"" font-size=""12px""
     fill=""black"" xmlns:xlink=""http://www.w3.org/1999/xlink"" stroke=""black""
     image-rendering=""auto"" stroke-miterlimit=""10"" zoomAndPan=""magnify""
     version=""1.0"" stroke-linecap=""square"" stroke-linejoin=""miter""
     contentStyleType=""text/css"" font-style=""normal"" height=""100""
     stroke-width=""1"" stroke-dashoffset=""0"" font-weight=""normal""
     stroke-opacity=""1"">
    <!--Generated by the Batik Graphics2D SVG Generator-->
    <defs id=""genericDefs""/>
    <g>
        <g fill=""rgb(170,204,255)"" stroke=""rgb(170,204,255)"">
            <rect x=""181"" width=""19"" height=""9"" y=""76"" stroke=""none""/>
            <line y2=""85"" x1=""163"" x2=""182"" stroke=""none"" y1=""85""/>
            <line y2=""85"" x1=""145"" x2=""164"" stroke=""none"" y1=""85""/>
            <rect x=""127"" width=""19"" height=""9"" y=""76"" stroke=""none""/>
            <line y2=""85"" x1=""109"" x2=""128"" stroke=""none"" y1=""85""/>
            <rect x=""90"" width=""19"" height=""9"" y=""76"" stroke=""none""/>
            <line y2=""85"" x1=""72"" x2=""91"" stroke=""none"" y1=""85""/>
            <line y2=""85"" x1=""54"" x2=""73"" stroke=""none"" y1=""85""/>
            <rect x=""36"" width=""19"" height=""43"" y=""42"" stroke=""none""/>
            <line y2=""85"" x1=""18"" x2=""37"" stroke=""none"" y1=""85""/>
            <rect x=""0"" width=""19"" height=""17"" y=""68"" stroke=""none""/>
            <line y2=""85"" fill=""none"" x1=""0"" x2=""200"" stroke=""rgb(64,64,64)""
                  y1=""85""/>
            <line fill=""none"" x1=""181"" x2=""181"" y1=""76"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""181"" x2=""200"" y1=""76"" y2=""76""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""200"" x2=""200"" y1=""76"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""163"" x2=""163"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""163"" x2=""181"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""181"" x2=""181"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""145"" x2=""145"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""145"" x2=""163"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""163"" x2=""163"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""127"" x2=""127"" y1=""76"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""127"" x2=""145"" y1=""76"" y2=""76""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""145"" x2=""145"" y1=""76"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""109"" x2=""109"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""109"" x2=""127"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""127"" x2=""127"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""90"" x2=""90"" y1=""76"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""90"" x2=""109"" y1=""76"" y2=""76""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""109"" x2=""109"" y1=""76"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""72"" x2=""72"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""72"" x2=""90"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""90"" x2=""90"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""54"" x2=""54"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""54"" x2=""72"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""72"" x2=""72"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""36"" x2=""36"" y1=""42"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""36"" x2=""54"" y1=""42"" y2=""42""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""54"" x2=""54"" y1=""42"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""18"" x2=""18"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""18"" x2=""36"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""36"" x2=""36"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""0"" x2=""0"" y1=""68"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""0"" x2=""18"" y1=""68"" y2=""68""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""18"" x2=""18"" y1=""68"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""0"" x2=""0"" y1=""85"" y2=""90"" stroke=""black""
                  stroke-width=""1.5""/>
            <line fill=""none"" x1=""191"" x2=""191"" y1=""85"" y2=""90"" stroke=""black""
                  stroke-width=""1.5""/>
            <text fill=""black"" x=""1"" xml:space=""preserve"" stroke-width=""1.5""
                  y=""100"" stroke=""none"">0</text><text fill=""black"" x=""176""
                  xml:space=""preserve"" stroke-width=""1.5"" y=""100"" stroke=""none"">11</text>
        </g>
    </g>
</svg>"
"Size of Test Set",38,39,38.3,0.48304589153964683,0.23333333333333225,1.0350983390135315,-1.224489795918366,383,0,0,0,0,,10,"
<svg stroke-dasharray=""none"" shape-rendering=""auto""
     xmlns=""http://www.w3.org/2000/svg"" font-family=""&apos;Dialog&apos;""
     width=""200"" text-rendering=""auto"" fill-opacity=""1""
     contentScriptType=""text/ecmascript"" color-interpolation=""auto""
     color-rendering=""auto"" preserveAspectRatio=""xMidYMid meet"" font-size=""12px""
     fill=""black"" xmlns:xlink=""http://www.w3.org/1999/xlink"" stroke=""black""
     image-rendering=""auto"" stroke-miterlimit=""10"" zoomAndPan=""magnify""
     version=""1.0"" stroke-linecap=""square"" stroke-linejoin=""miter""
     contentStyleType=""text/css"" font-style=""normal"" height=""100""
     stroke-width=""1"" stroke-dashoffset=""0"" font-weight=""normal""
     stroke-opacity=""1"">
    <!--Generated by the Batik Graphics2D SVG Generator-->
    <defs id=""genericDefs""/>
    <g>
        <g fill=""rgb(170,204,255)"" stroke=""rgb(170,204,255)"">
            <rect x=""180"" width=""20"" height=""26"" y=""59"" stroke=""none""/>
            <line y2=""85"" x1=""160"" x2=""180"" stroke=""none"" y1=""85""/>
            <line y2=""85"" x1=""140"" x2=""160"" stroke=""none"" y1=""85""/>
            <line y2=""85"" x1=""120"" x2=""140"" stroke=""none"" y1=""85""/>
            <line y2=""85"" x1=""100"" x2=""120"" stroke=""none"" y1=""85""/>
            <line y2=""85"" x1=""80"" x2=""100"" stroke=""none"" y1=""85""/>
            <line y2=""85"" x1=""60"" x2=""80"" stroke=""none"" y1=""85""/>
            <line y2=""85"" x1=""40"" x2=""60"" stroke=""none"" y1=""85""/>
            <line y2=""85"" x1=""20"" x2=""40"" stroke=""none"" y1=""85""/>
            <rect x=""0"" width=""20"" height=""60"" y=""25"" stroke=""none""/>
            <line y2=""85"" fill=""none"" x1=""0"" x2=""200"" stroke=""rgb(64,64,64)""
                  y1=""85""/>
            <line fill=""none"" x1=""180"" x2=""180"" y1=""59"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""180"" x2=""200"" y1=""59"" y2=""59""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""200"" x2=""200"" y1=""59"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""160"" x2=""160"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""160"" x2=""180"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""180"" x2=""180"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""140"" x2=""140"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""140"" x2=""160"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""160"" x2=""160"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""120"" x2=""120"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""120"" x2=""140"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""140"" x2=""140"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""100"" x2=""100"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""100"" x2=""120"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""120"" x2=""120"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""80"" x2=""80"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""80"" x2=""100"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""100"" x2=""100"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""60"" x2=""60"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""60"" x2=""80"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""80"" x2=""80"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""40"" x2=""40"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""40"" x2=""60"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""60"" x2=""60"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""20"" x2=""20"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""20"" x2=""40"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""40"" x2=""40"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""0"" x2=""0"" y1=""25"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""0"" x2=""20"" y1=""25"" y2=""25""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""20"" x2=""20"" y1=""25"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""0"" x2=""0"" y1=""85"" y2=""90"" stroke=""black""
                  stroke-width=""1.5""/>
            <line fill=""none"" x1=""200"" x2=""200"" y1=""85"" y2=""90"" stroke=""black""
                  stroke-width=""1.5""/>
            <text fill=""black"" x=""1"" xml:space=""preserve"" stroke-width=""1.5""
                  y=""100"" stroke=""none"">38</text><text fill=""black"" x=""185""
                  xml:space=""preserve"" stroke-width=""1.5"" y=""100"" stroke=""none"">39</text>
        </g>
    </g>
</svg>"
"Error Count",0,4,1.4,1.2649110640673518,1.5999999999999999,1.1035031418295906,0.7924107142857134,14,0,0,0,0,,10,"
<svg stroke-dasharray=""none"" shape-rendering=""auto""
     xmlns=""http://www.w3.org/2000/svg"" font-family=""&apos;Dialog&apos;""
     width=""200"" text-rendering=""auto"" fill-opacity=""1""
     contentScriptType=""text/ecmascript"" color-interpolation=""auto""
     color-rendering=""auto"" preserveAspectRatio=""xMidYMid meet"" font-size=""12px""
     fill=""black"" xmlns:xlink=""http://www.w3.org/1999/xlink"" stroke=""black""
     image-rendering=""auto"" stroke-miterlimit=""10"" zoomAndPan=""magnify""
     version=""1.0"" stroke-linecap=""square"" stroke-linejoin=""miter""
     contentStyleType=""text/css"" font-style=""normal"" height=""100""
     stroke-width=""1"" stroke-dashoffset=""0"" font-weight=""normal""
     stroke-opacity=""1"">
    <!--Generated by the Batik Graphics2D SVG Generator-->
    <defs id=""genericDefs""/>
    <g>
        <g fill=""rgb(170,204,255)"" stroke=""rgb(170,204,255)"">
            <rect x=""180"" width=""20"" height=""9"" y=""76"" stroke=""none""/>
            <line y2=""85"" x1=""160"" x2=""180"" stroke=""none"" y1=""85""/>
            <rect x=""140"" width=""20"" height=""9"" y=""76"" stroke=""none""/>
            <line y2=""85"" x1=""120"" x2=""140"" stroke=""none"" y1=""85""/>
            <rect x=""100"" width=""20"" height=""9"" y=""76"" stroke=""none""/>
            <line y2=""85"" x1=""80"" x2=""100"" stroke=""none"" y1=""85""/>
            <line y2=""85"" x1=""60"" x2=""80"" stroke=""none"" y1=""85""/>
            <rect x=""40"" width=""20"" height=""43"" y=""42"" stroke=""none""/>
            <line y2=""85"" x1=""20"" x2=""40"" stroke=""none"" y1=""85""/>
            <rect x=""0"" width=""20"" height=""17"" y=""68"" stroke=""none""/>
            <line y2=""85"" fill=""none"" x1=""0"" x2=""200"" stroke=""rgb(64,64,64)""
                  y1=""85""/>
            <line fill=""none"" x1=""180"" x2=""180"" y1=""76"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""180"" x2=""200"" y1=""76"" y2=""76""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""200"" x2=""200"" y1=""76"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""160"" x2=""160"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""160"" x2=""180"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""180"" x2=""180"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""140"" x2=""140"" y1=""76"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""140"" x2=""160"" y1=""76"" y2=""76""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""160"" x2=""160"" y1=""76"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""120"" x2=""120"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""120"" x2=""140"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""140"" x2=""140"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""100"" x2=""100"" y1=""76"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""100"" x2=""120"" y1=""76"" y2=""76""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""120"" x2=""120"" y1=""76"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""80"" x2=""80"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""80"" x2=""100"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""100"" x2=""100"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""60"" x2=""60"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""60"" x2=""80"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""80"" x2=""80"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""40"" x2=""40"" y1=""42"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""40"" x2=""60"" y1=""42"" y2=""42""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""60"" x2=""60"" y1=""42"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""20"" x2=""20"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""20"" x2=""40"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""40"" x2=""40"" y1=""85"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""0"" x2=""0"" y1=""68"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""0"" x2=""20"" y1=""68"" y2=""68""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""20"" x2=""20"" y1=""68"" y2=""85""
                  stroke=""rgb(64,64,64)"" stroke-width=""1.5""/>
            <line fill=""none"" x1=""0"" x2=""0"" y1=""85"" y2=""90"" stroke=""black""
                  stroke-width=""1.5""/>
            <line fill=""none"" x1=""200"" x2=""200"" y1=""85"" y2=""90"" stroke=""black""
                  stroke-width=""1.5""/>
            <text fill=""black"" x=""1"" xml:space=""preserve"" stroke-width=""1.5""
                  y=""100"" stroke=""none"">0</text><text fill=""black"" x=""192""
                  xml:space=""preserve"" stroke-width=""1.5"" y=""100"" stroke=""none"">4</text>
        </g>
    </g>
</svg>"
